"zipcode","neighborhood","dayofweek","hour","temperature","rain","regression","xgb"
"10017","Gramercy Park and Murray Hill",0,0,19,0,224,167
"10281","Lower Manhattan",0,0,19,0,6,1
"11209","Southwest Brooklyn",0,0,19,0,3,0
"11210","Flatbush",0,0,19,0,5,0
"10282","Lower Manhattan",0,0,19,0,11,1
"11211","Greenpoint",0,0,19,0,225,247
"11212","Central Brooklyn",0,0,19,0,2,0
"10032","Inwood and Washington Heights",0,0,19,0,26,20
"11213","Central Brooklyn",0,0,19,0,10,1
"10301","Stapleton and St. George",0,0,19,0,5,0
"11214","Southwest Brooklyn",0,0,19,0,3,0
"11215","Northwest Brooklyn",0,0,19,0,46,40
"10005","Lower Manhattan",0,0,19,0,35,17
"10018","Chelsea and Clinton",0,0,19,0,223,215
"10033","Inwood and Washington Heights",0,0,19,0,18,13
"10302","Port Richmond",0,0,19,0,5,0
"11216","Central Brooklyn",0,0,19,0,35,28
"10303","Port Richmond",0,0,19,0,5,0
"11217","Northwest Brooklyn",0,0,19,0,76,68
"11218","Borough Park",0,0,19,0,5,0
"10034","Inwood and Washington Heights",0,0,19,0,17,11
"10304","Stapleton and St. George",0,0,19,0,5,0
"11219","Borough Park",0,0,19,0,2,0
"11220","Sunset Park",0,0,19,0,3,0
"11221","Bushwick and Williamsburg",0,0,19,0,23,19
"10019","Chelsea and Clinton",0,0,19,0,628,554
"10035","East Harlem",0,0,19,0,101,102
"10305","Stapleton and St. George",0,0,19,0,4,0
"11222","Greenpoint",0,0,19,0,63,57
"11223","Southern Brooklyn",0,0,19,0,3,0
"10306","South Shore",0,0,19,0,5,0
"11224","Southern Brooklyn",0,0,19,0,2,0
"10307","South Shore",0,0,19,0,5,0
"11225","Flatbush",0,0,19,0,8,1
"11226","Flatbush",0,0,19,0,7,1
"11228","Southwest Brooklyn",0,0,19,0,3,0
"11229","Southern Brooklyn",0,0,19,0,2,0
"10010","Gramercy Park and Murray Hill",0,0,19,0,230,154
"10020","Chelsea and Clinton",0,0,19,0,9,0
"10036","Chelsea and Clinton",0,0,19,0,433,402
"10308","South Shore",0,0,19,0,5,0
"11230","Borough Park",0,0,19,0,3,0
"10036","Chelsea and Clinton",0,0,19,0,433,402
"10309","South Shore",0,0,19,0,5,0
"11231","Northwest Brooklyn",0,0,19,0,30,28
"10310","Port Richmond",0,0,19,0,5,0
"11232","Sunset Park",0,0,19,0,4,0
"11233","Central Brooklyn",0,0,19,0,7,0
"11234","Canarsie and Flatlands",0,0,19,0,3,0
"10037","Central Harlem",0,0,19,0,68,45
"10312","South Shore",0,0,19,0,5,0
"11235","Southern Brooklyn",0,0,19,0,6,0
"11236","Canarsie and Flatlands",0,0,19,0,2,0
"10314","Mid-Island",0,0,19,0,5,0
"11237","Bushwick and Williamsburg",0,0,19,0,23,15
"11238","Central Brooklyn",0,0,19,0,45,42
"10038","Lower Manhattan",0,0,19,0,56,49
"11239","Canarsie and Flatlands",0,0,19,0,4,0
"10451","High Bridge and Morrisania",0,0,19,0,14,9
"11249","Northwest Brooklyn",0,0,19,0,95,101
"10002","Lower East Side",0,0,19,0,323,274
"10003","Lower East Side",0,0,19,0,473,484
"10011","Chelsea and Clinton",0,0,19,0,454,404
"10021","Upper East Side",0,0,19,0,246,136
"10452","High Bridge and Morrisania",0,0,19,0,8,1
"11251","Northwest Brooklyn",0,0,19,0,5,0
"11252","Flatbush",0,0,19,0,5,0
"11354","North Queens",0,0,19,0,11,3
"11355","North Queens",0,0,19,0,2,0
"10039","Central Harlem",0,0,19,0,7,0
"10453","Central Bronx",0,0,19,0,4,0
"11356","North Queens",0,0,19,0,3,0
"10454","Hunts Point and Mott Haven",0,0,19,0,6,0
"11357","North Queens",0,0,19,0,3,0
"11358","North Queens",0,0,19,0,4,0
"10040","Inwood and Washington Heights",0,0,19,0,15,9
"10455","Hunts Point and Mott Haven",0,0,19,0,5,0
"11359","North Queens",0,0,19,0,5,0
"10456","High Bridge and Morrisania",0,0,19,0,4,0
"11360","North Queens",0,0,19,0,4,0
"10044","Upper East Side",0,0,19,0,3,0
"11361","Northeast Queens",0,0,19,0,4,0
"11362","Northeast Queens",0,0,19,0,5,0
"10457","Central Bronx",0,0,19,0,6,0
"11363","Northeast Queens",0,0,19,0,5,0
"11364","Northeast Queens",0,0,19,0,3,0
"10012","Greenwich Village and Soho",0,0,19,0,289,283
"10022","Gramercy Park and Murray Hill",0,0,19,0,367,280
"10048","Lower Manhattan",0,0,19,0,4,0
"10458","Bronx Park and Fordham",0,0,19,0,6,0
"11365","Central Queens",0,0,19,0,3,0
"11366","Central Queens",0,0,19,0,4,0
"11367","Central Queens",0,0,19,0,3,0
"10459","Hunts Point and Mott Haven",0,0,19,0,3,0
"11368","West Queens",0,0,19,0,14,11
"10460","Central Bronx",0,0,19,0,3,0
"11369","West Queens",0,0,19,0,161,154
"10023","Upper West Side",0,0,19,0,261,192
"10065","Upper East Side",0,0,19,0,166,88
"10461","Southeast Bronx",0,0,19,0,3,0
"10069","Upper West Side",0,0,19,0,4,0
"10462","Southeast Bronx",0,0,19,0,4,0
"10463","Kingsbridge and Riverdale",0,0,19,0,5,0
"10006","Lower Manhattan",0,0,19,0,13,7
"10024","Upper West Side",0,0,19,0,159,138
"10075","Upper East Side",0,0,19,0,87,63
"10464","Southeast Bronx",0,0,19,0,4,0
"10465","Southeast Bronx",0,0,19,0,3,0
"10466","Northeast Bronx",0,0,19,0,3,0
"10107","Chelsea and Clinton",0,0,19,0,3,0
"10467","Bronx Park and Fordham",0,0,19,0,4,0
"10468","Bronx Park and Fordham",0,0,19,0,7,0
"10112","Chelsea and Clinton",0,0,19,0,12,5
"10469","Northeast Bronx",0,0,19,0,2,0
"10013","Greenwich Village and Soho",0,0,19,0,226,225
"10025","Upper West Side",0,0,19,0,171,138
"10470","Northeast Bronx",0,0,19,0,3,0
"10471","Kingsbridge and Riverdale",0,0,19,0,3,0
"10115","Upper West Side",0,0,19,0,5,0
"10472","Southeast Bronx",0,0,19,0,5,0
"10473","Southeast Bronx",0,0,19,0,2,0
"10026","Central Harlem",0,0,19,0,47,45
"10124","Chelsea and Clinton",0,0,19,0,5,0
"10474","Hunts Point and Mott Haven",0,0,19,0,3,0
"10475","Northeast Bronx",0,0,19,0,4,0
"11001","Southeast Queens",0,0,19,0,4,0
"11379","West Central Queens",0,1,19,0,2,0
"10153","Upper East Side",0,1,19,0,7,0
"11377","West Queens",0,1,19,0,52,54
"11001","Southeast Queens",0,1,19,0,3,0
"11426","Southeast Queens",0,1,19,0,4,0
"10007","Lower Manhattan",0,1,19,0,44,22
"11451","Jamaica",0,1,19,0,3,0
"11003","Southeast Queens",0,1,19,0,4,0
"11411","Southeast Queens",0,1,19,0,3,0
"11004","Southeast Queens",0,1,19,0,3,0
"11419","Southwest Queens",0,1,19,0,2,0
"10027","Central Harlem",0,1,19,0,60,51
"11375","West Central Queens",0,1,19,0,24,22
"11005","Southeast Queens",0,1,19,0,4,0
"11385","West Central Queens",0,1,19,0,2,0
"10154","Upper East Side",0,1,19,0,4,0
"11374","West Central Queens",0,1,19,0,2,0
"11101","Northwest Queens",0,1,19,0,56,52
"11370","West Queens",0,1,19,0,4,0
"11102","Northwest Queens",0,1,19,0,18,15
"11413","Southeast Queens",0,1,19,0,3,0
"10014","Greenwich Village and Soho",0,1,19,0,268,251
"11434","Jamaica",0,1,19,0,2,0
"10155","Upper East Side",0,1,19,0,5,0
"11417","Southwest Queens",0,1,19,0,2,0
"11103","Northwest Queens",0,1,19,0,43,44
"11418","Southwest Queens",0,1,19,0,3,0
"11104","Northwest Queens",0,1,19,0,18,12
"11422","Southeast Queens",0,1,19,0,3,0
"10028","Upper East Side",0,1,19,0,126,58
"11415","Southwest Queens",0,1,19,0,7,0
"10168","Chelsea and Clinton",0,1,19,0,3,0
"11414","Southwest Queens",0,1,19,0,3,0
"11105","Northwest Queens",0,1,19,0,14,7
"11421","Southwest Queens",0,1,19,0,3,0
"10016","Gramercy Park and Murray Hill",0,1,19,0,324,160
"11372","West Queens",0,1,19,0,16,15
"11106","Northwest Queens",0,1,19,0,40,36
"11436","Jamaica",0,1,19,0,2,0
"10203","Lower Manhattan",0,1,19,0,4,0
"11435","Jamaica",0,1,19,0,8,0
"11120","Northwest Queens",0,1,19,0,3,0
"11423","Jamaica",0,1,19,0,3,0
"10029","East Harlem",0,1,19,0,58,36
"11416","Southwest Queens",0,1,19,0,3,0
"10270","Lower Manhattan",0,1,19,0,2,0
"11378","West Queens",0,1,19,0,3,0
"11201","Northwest Brooklyn",0,1,19,0,68,55
"11428","Southeast Queens",0,1,19,0,4,0
"10030","Central Harlem",0,1,19,0,11,6
"11432","Jamaica",0,1,19,0,2,0
"11203","Flatbush",0,1,19,0,2,0
"11420","Southwest Queens",0,1,19,0,2,0
"10275","Lower Manhattan",0,1,19,0,4,0
"11429","Southeast Queens",0,1,19,0,4,0
"11204","Borough Park",0,1,19,0,2,0
"11412","Jamaica",0,1,19,0,3,0
"11205","Northwest Brooklyn",0,1,19,0,22,21
"11371","La Guardia Airport",0,1,19,0,4,0
"11206","Bushwick and Williamsburg",0,1,19,0,46,43
"11430","JFK Airport",0,1,19,0,101.970518926,64.8903302258
"10278","Lower Manhattan",0,1,19,0,4,0
"11373","West Queens",0,1,19,0,83,82
"11207","East New York and New Lots",0,1,19,0,4,0
"11427","Southeast Queens",0,1,19,0,3,0
"10280","Lower Manhattan",0,1,19,0,4,0
"11439","Jamaica",0,1,19,0,4,0
"11208","East New York and New Lots",0,1,19,0,3,0
"11433","Jamaica",0,1,19,0,3,0
"10031","Inwood and Washington Heights",0,1,19,0,24,18
"10004","Lower Manhattan",0,1,19,0,22,14
"11209","Southwest Brooklyn",0,1,19,0,2,0
"10281","Lower Manhattan",0,1,19,0,4,0
"11210","Flatbush",0,1,19,0,4,0
"11211","Greenpoint",0,1,19,0,164,170
"10017","Gramercy Park and Murray Hill",0,1,19,0,184,120
"10282","Lower Manhattan",0,1,19,0,8,0
"11212","Central Brooklyn",0,1,19,0,3,0
"10032","Inwood and Washington Heights",0,1,19,0,18,13
"11213","Central Brooklyn",0,1,19,0,6,0
"11214","Southwest Brooklyn",0,1,19,0,2,0
"10301","Stapleton and St. George",0,1,19,0,4,0
"11215","Northwest Brooklyn",0,1,19,0,25,20
"10009","Lower East Side",0,1,19,0,220,183
"11216","Central Brooklyn",0,1,19,0,23,20
"11217","Northwest Brooklyn",0,1,19,0,46,37
"10302","Port Richmond",0,1,19,0,4,0
"10033","Inwood and Washington Heights",0,1,19,0,10,8
"11218","Borough Park",0,1,19,0,5,0
"10303","Port Richmond",0,1,19,0,4,0
"10018","Chelsea and Clinton",0,1,19,0,163,119
"11219","Borough Park",0,1,19,0,2,0
"11220","Sunset Park",0,1,19,0,2,0
"10034","Inwood and Washington Heights",0,1,19,0,12,6
"11221","Bushwick and Williamsburg",0,1,19,0,17,15
"10304","Stapleton and St. George",0,1,19,0,4,0
"11222","Greenpoint",0,1,19,0,33,31
"11223","Southern Brooklyn",0,1,19,0,3,0
"10305","Stapleton and St. George",0,1,19,0,3,0
"11224","Southern Brooklyn",0,1,19,0,3,0
"10035","East Harlem",0,1,19,0,69,53
"10306","South Shore",0,1,19,0,4,0
"11225","Flatbush",0,1,19,0,6,0
"11226","Flatbush",0,1,19,0,6,0
"10019","Chelsea and Clinton",0,1,19,0,464,330
"10307","South Shore",0,1,19,0,4,0
"11228","Southwest Brooklyn",0,1,19,0,3,0
"11229","Southern Brooklyn",0,1,19,0,3,0
"10308","South Shore",0,1,19,0,4,0
"11230","Borough Park",0,1,19,0,2,0
"11231","Northwest Brooklyn",0,1,19,0,15,15
"10309","South Shore",0,1,19,0,4,0
"10010","Gramercy Park and Murray Hill",0,1,19,0,176,103
"10036","Chelsea and Clinton",0,1,19,0,311,239
"10036","Chelsea and Clinton",0,1,19,0,311,239
"10005","Lower Manhattan",0,1,19,0,25,12
"11232","Sunset Park",0,1,19,0,3,0
"10020","Chelsea and Clinton",0,1,19,0,4,0
"11233","Central Brooklyn",0,1,19,0,5,0
"10310","Port Richmond",0,1,19,0,4,0
"11234","Canarsie and Flatlands",0,1,19,0,3,0
"10037","Central Harlem",0,1,19,0,49,24
"11235","Southern Brooklyn",0,1,19,0,3,0
"10312","South Shore",0,1,19,0,4,0
"11236","Canarsie and Flatlands",0,1,19,0,3,0
"11237","Bushwick and Williamsburg",0,1,19,0,14,12
"11238","Central Brooklyn",0,1,19,0,26,27
"10314","Mid-Island",0,1,19,0,4,0
"11239","Canarsie and Flatlands",0,1,19,0,3,0
"11249","Northwest Brooklyn",0,1,19,0,79,76
"10451","High Bridge and Morrisania",0,1,19,0,12,6
"11251","Northwest Brooklyn",0,1,19,0,4,0
"10038","Lower Manhattan",0,1,19,0,41,31
"10452","High Bridge and Morrisania",0,1,19,0,6,0
"11252","Flatbush",0,1,19,0,4,0
"10011","Chelsea and Clinton",0,1,19,0,399,296
"11354","North Queens",0,1,19,0,9,1
"10453","Central Bronx",0,1,19,0,4,0
"10021","Upper East Side",0,1,19,0,214,70
"11355","North Queens",0,1,19,0,2,0
"10454","Hunts Point and Mott Haven",0,1,19,0,4,0
"11356","North Queens",0,1,19,0,2,0
"10039","Central Harlem",0,1,19,0,5,0
"11357","North Queens",0,1,19,0,4,0
"10455","Hunts Point and Mott Haven",0,1,19,0,4,0
"11358","North Queens",0,1,19,0,3,0
"10040","Inwood and Washington Heights",0,1,19,0,9,5
"11359","North Queens",0,1,19,0,4,0
"10456","High Bridge and Morrisania",0,1,19,0,4,0
"11360","North Queens",0,1,19,0,4,0
"11361","Northeast Queens",0,1,19,0,3,0
"11362","Northeast Queens",0,1,19,0,4,0
"11363","Northeast Queens",0,1,19,0,4,0
"10457","Central Bronx",0,1,19,0,5,0
"11364","Northeast Queens",0,1,19,0,3,0
"10022","Gramercy Park and Murray Hill",0,1,19,0,285,145
"11365","Central Queens",0,1,19,0,2,0
"10044","Upper East Side",0,1,19,0,2,0
"10458","Bronx Park and Fordham",0,1,19,0,5,0
"11366","Central Queens",0,1,19,0,3,0
"10006","Lower Manhattan",0,1,19,0,9,2
"11367","Central Queens",0,1,19,0,2,0
"10048","Lower Manhattan",0,1,19,0,3,0
"10459","Hunts Point and Mott Haven",0,1,19,0,3,0
"11368","West Queens",0,1,19,0,11,8
"11369","West Queens",0,1,19,0,55,35
"10460","Central Bronx",0,1,19,0,3,0
"10003","Lower East Side",0,1,19,0,357,227
"10461","Southeast Bronx",0,1,19,0,2,0
"10065","Upper East Side",0,1,19,0,134,43
"10462","Southeast Bronx",0,1,19,0,4,0
"10023","Upper West Side",0,1,19,0,166,70
"10463","Kingsbridge and Riverdale",0,1,19,0,4,0
"10001","Chelsea and Clinton",0,1,19,0,344,298
"10464","Southeast Bronx",0,1,19,0,4,0
"10069","Upper West Side",0,1,19,0,4,0
"10075","Upper East Side",0,1,19,0,68,30
"10465","Southeast Bronx",0,1,19,0,3,0
"10012","Greenwich Village and Soho",0,1,19,0,212,177
"10024","Upper West Side",0,1,19,0,110,84
"10466","Northeast Bronx",0,1,19,0,2,0
"10107","Chelsea and Clinton",0,1,19,0,2,0
"10467","Bronx Park and Fordham",0,1,19,0,2,0
"10468","Bronx Park and Fordham",0,1,19,0,5,0
"10469","Northeast Bronx",0,1,19,0,2,0
"10112","Chelsea and Clinton",0,1,19,0,7,1
"10470","Northeast Bronx",0,1,19,0,3,0
"10002","Lower East Side",0,1,19,0,262,190
"10025","Upper West Side",0,1,19,0,135,89
"10471","Kingsbridge and Riverdale",0,1,19,0,3,0
"10115","Upper West Side",0,1,19,0,4,0
"10472","Southeast Bronx",0,1,19,0,5,0
"10013","Greenwich Village and Soho",0,1,19,0,166,141
"10473","Southeast Bronx",0,1,19,0,2,0
"10026","Central Harlem",0,1,19,0,28,24
"10124","Chelsea and Clinton",0,1,19,0,4,0
"10474","Hunts Point and Mott Haven",0,1,19,0,3,0
"10128","Upper East Side",0,1,19,0,100,38
"10475","Northeast Bronx",0,1,19,0,3,0
"11418","Southwest Queens",0,2,19,0,2,0
"11001","Southeast Queens",0,2,19,0,2,0
"11375","West Central Queens",0,2,19,0,15,14
"10007","Lower Manhattan",0,2,19,0,40,12
"11373","West Queens",0,2,19,0,74,74
"10153","Upper East Side",0,2,19,0,4,0
"11434","Jamaica",0,2,19,0,2,0
"11003","Southeast Queens",0,2,19,0,2,0
"11439","Jamaica",0,2,19,0,3,0
"10027","Central Harlem",0,2,19,0,50,34
"11429","Southeast Queens",0,2,19,0,2,0
"11004","Southeast Queens",0,2,19,0,2,0
"11435","Jamaica",0,2,19,0,4,0
"10154","Upper East Side",0,2,19,0,2,0
"11416","Southwest Queens",0,2,19,0,2,0
"11005","Southeast Queens",0,2,19,0,3,0
"11412","Jamaica",0,2,19,0,2,0
"11101","Northwest Queens",0,2,19,0,43,31
"11413","Southeast Queens",0,2,19,0,2,0
"10004","Lower Manhattan",0,2,19,0,12,4
"11423","Jamaica",0,2,19,0,2,0
"10155","Upper East Side",0,2,19,0,4,0
"11379","West Central Queens",0,2,19,0,2,0
"11102","Northwest Queens",0,2,19,0,15,11
"11427","Southeast Queens",0,2,19,0,2,0
"10028","Upper East Side",0,2,19,0,121,51
"11370","West Queens",0,2,19,0,3,0
"11103","Northwest Queens",0,2,19,0,31,28
"11377","West Queens",0,2,19,0,48,49
"11104","Northwest Queens",0,2,19,0,16,10
"11417","Southwest Queens",0,2,19,0,2,0
"11105","Northwest Queens",0,2,19,0,9,2
"11414","Southwest Queens",0,2,19,0,2,0
"10029","East Harlem",0,2,19,0,56,26
"11430","JFK Airport",0,2,19,0,82.5008743537,12.0732986859
"10168","Chelsea and Clinton",0,2,19,0,2,0
"11433","Jamaica",0,2,19,0,2,0
"10203","Lower Manhattan",0,2,19,0,3,0
"11385","West Central Queens",0,2,19,0,2,0
"11106","Northwest Queens",0,2,19,0,27,20
"11428","Southeast Queens",0,2,19,0,2,0
"11120","Northwest Queens",0,2,19,0,2,0
"11436","Jamaica",0,2,19,0,2,0
"10016","Gramercy Park and Murray Hill",0,2,19,0,282,86
"11432","Jamaica",0,2,19,0,2,0
"10270","Lower Manhattan",0,2,19,0,2,0
"11451","Jamaica",0,2,19,0,3,0
"11201","Northwest Brooklyn",0,2,19,0,48,28
"11420","Southwest Queens",0,2,19,0,2,0
"10017","Gramercy Park and Murray Hill",0,2,19,0,151,75
"11411","Southeast Queens",0,2,19,0,2,0
"11203","Flatbush",0,2,19,0,2,0
"11422","Southeast Queens",0,2,19,0,2,0
"10030","Central Harlem",0,2,19,0,11,5
"11419","Southwest Queens",0,2,19,0,2,0
"11204","Borough Park",0,2,19,0,2,0
"11426","Southeast Queens",0,2,19,0,2,0
"11205","Northwest Brooklyn",0,2,19,0,12,11
"11371","La Guardia Airport",0,2,19,0,3,0
"10275","Lower Manhattan",0,2,19,0,2,0
"11374","West Central Queens",0,2,19,0,2,0
"10001","Chelsea and Clinton",0,2,19,0,301,200
"11378","West Queens",0,2,19,0,2,0
"11206","Bushwick and Williamsburg",0,2,19,0,27,23
"11415","Southwest Queens",0,2,19,0,4,0
"10278","Lower Manhattan",0,2,19,0,3,0
"11372","West Queens",0,2,19,0,15,12
"11207","East New York and New Lots",0,2,19,0,5,0
"11421","Southwest Queens",0,2,19,0,2,0
"11208","East New York and New Lots",0,2,19,0,2,0
"10031","Inwood and Washington Heights",0,2,19,0,17,11
"10280","Lower Manhattan",0,2,19,0,4,0
"11209","Southwest Brooklyn",0,2,19,0,2,0
"11210","Flatbush",0,2,19,0,3,0
"10281","Lower Manhattan",0,2,19,0,2,0
"11211","Greenpoint",0,2,19,0,120,119
"11212","Central Brooklyn",0,2,19,0,2,0
"10009","Lower East Side",0,2,19,0,185,118
"10282","Lower Manhattan",0,2,19,0,6,0
"10032","Inwood and Washington Heights",0,2,19,0,14,8
"11213","Central Brooklyn",0,2,19,0,3,0
"11214","Southwest Brooklyn",0,2,19,0,2,0
"11215","Northwest Brooklyn",0,2,19,0,14,7
"10301","Stapleton and St. George",0,2,19,0,2,0
"10302","Port Richmond",0,2,19,0,3,0
"11216","Central Brooklyn",0,2,19,0,13,10
"10005","Lower Manhattan",0,2,19,0,21,4
"10033","Inwood and Washington Heights",0,2,19,0,7,2
"11217","Northwest Brooklyn",0,2,19,0,30,18
"11218","Borough Park",0,2,19,0,4,0
"10303","Port Richmond",0,2,19,0,3,0
"10018","Chelsea and Clinton",0,2,19,0,136,88
"11219","Borough Park",0,2,19,0,2,0
"11220","Sunset Park",0,2,19,0,2,0
"10304","Stapleton and St. George",0,2,19,0,2,0
"11221","Bushwick and Williamsburg",0,2,19,0,15,11
"10034","Inwood and Washington Heights",0,2,19,0,7,0
"10305","Stapleton and St. George",0,2,19,0,2,0
"11222","Greenpoint",0,2,19,0,24,19
"11223","Southern Brooklyn",0,2,19,0,2,0
"10035","East Harlem",0,2,19,0,59,32
"10306","South Shore",0,2,19,0,2,0
"11224","Southern Brooklyn",0,2,19,0,2,0
"11225","Flatbush",0,2,19,0,4,0
"10010","Gramercy Park and Murray Hill",0,2,19,0,167,82
"11226","Flatbush",0,2,19,0,4,0
"11228","Southwest Brooklyn",0,2,19,0,2,0
"10019","Chelsea and Clinton",0,2,19,0,418,243
"10307","South Shore",0,2,19,0,3,0
"10308","South Shore",0,2,19,0,3,0
"11229","Southern Brooklyn",0,2,19,0,2,0
"11230","Borough Park",0,2,19,0,2,0
"11231","Northwest Brooklyn",0,2,19,0,14,15
"10309","South Shore",0,2,19,0,3,0
"10036","Chelsea and Clinton",0,2,19,0,272,158
"10036","Chelsea and Clinton",0,2,19,0,272,158
"11232","Sunset Park",0,2,19,0,2,0
"11233","Central Brooklyn",0,2,19,0,3,0
"11234","Canarsie and Flatlands",0,2,19,0,2,0
"10310","Port Richmond",0,2,19,0,3,0
"11235","Southern Brooklyn",0,2,19,0,2,0
"10312","South Shore",0,2,19,0,2,0
"11236","Canarsie and Flatlands",0,2,19,0,2,0
"11237","Bushwick and Williamsburg",0,2,19,0,9,8
"10020","Chelsea and Clinton",0,2,19,0,2,0
"10314","Mid-Island",0,2,19,0,2,0
"11238","Central Brooklyn",0,2,19,0,13,17
"11239","Canarsie and Flatlands",0,2,19,0,2,0
"10451","High Bridge and Morrisania",0,2,19,0,6,2
"10037","Central Harlem",0,2,19,0,39,11
"11249","Northwest Brooklyn",0,2,19,0,63,65
"10038","Lower Manhattan",0,2,19,0,31,18
"10452","High Bridge and Morrisania",0,2,19,0,4,0
"11251","Northwest Brooklyn",0,2,19,0,3,0
"11252","Flatbush",0,2,19,0,3,0
"10021","Upper East Side",0,2,19,0,213,47
"11354","North Queens",0,2,19,0,5,0
"10453","Central Bronx",0,2,19,0,4,0
"10011","Chelsea and Clinton",0,2,19,0,355,264
"10039","Central Harlem",0,2,19,0,3,0
"11355","North Queens",0,2,19,0,2,0
"10454","Hunts Point and Mott Haven",0,2,19,0,3,0
"11356","North Queens",0,2,19,0,2,0
"11357","North Queens",0,2,19,0,2,0
"11358","North Queens",0,2,19,0,2,0
"10455","Hunts Point and Mott Haven",0,2,19,0,3,0
"11359","North Queens",0,2,19,0,2,0
"10040","Inwood and Washington Heights",0,2,19,0,7,2
"11360","North Queens",0,2,19,0,2,0
"10022","Gramercy Park and Murray Hill",0,2,19,0,254,91
"10456","High Bridge and Morrisania",0,2,19,0,3,0
"11361","Northeast Queens",0,2,19,0,2,0
"10457","Central Bronx",0,2,19,0,4,0
"11362","Northeast Queens",0,2,19,0,2,0
"10044","Upper East Side",0,2,19,0,1,0
"11363","Northeast Queens",0,2,19,0,2,0
